date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:34:01	35556/35556	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2011:34:00%20GMT	http://www.radprocalculator.com/default.aspx	E:/My%20Web/2/www.radprocalculator.com/default.html	(from http://www.radprocalculator.com/)
19:34:02	11874/11874	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2011:34:01%20GMT	http://www.radprocalculator.com/XRay.aspx	E:/My%20Web/2/www.radprocalculator.com/XRay.html	(from http://www.radprocalculator.com/)
19:34:03	3770/3770	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20May%202023%2011:34:02%20GMT	http://www.radprocalculator.com/UraniumEnrichment.aspx	E:/My%20Web/2/www.radprocalculator.com/UraniumEnrichment.44.delayed	(from http://www.radprocalculator.com/)
19:34:04	3758/3758	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20May%202023%2011:34:04%20GMT	http://www.radprocalculator.com/UraniumFuel.aspx	E:/My%20Web/2/www.radprocalculator.com/UraniumFuel.45.delayed	(from http://www.radprocalculator.com/)
19:34:05	15354/15354	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2011:34:05%20GMT	http://www.radprocalculator.com/GeoConvert.aspx	E:/My%20Web/2/www.radprocalculator.com/GeoConvert-2.html	(from http://www.radprocalculator.com/)
19:34:06	156/156	---M--	302	error ('Found')	text/html	date:Fri,%2005%20May%202023%2011:34:05%20GMT	http://www.radprocalculator.com/RadLab.aspx	E:/My%20Web/2/www.radprocalculator.com/RadLab.47.delayed	(from http://www.radprocalculator.com/)
19:34:07	24956/24956	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2011:34:07%20GMT	http://www.radprocalculator.com/NuclearLinks.aspx	E:/My%20Web/2/www.radprocalculator.com/NuclearLinks.html	(from http://www.radprocalculator.com/)
19:34:08	3750/3750	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20May%202023%2011:34:07%20GMT	http://www.radprocalculator.com/Request.aspx	E:/My%20Web/2/www.radprocalculator.com/Request.49.delayed	(from http://www.radprocalculator.com/)
19:34:09	3758/3758	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20May%202023%2011:34:09%20GMT	http://www.radprocalculator.com/MailingList.aspx	E:/My%20Web/2/www.radprocalculator.com/MailingList.4a.delayed	(from http://www.radprocalculator.com/)
19:34:11	17246/17246	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2011:34:10%20GMT	http://www.radprocalculator.com/SiteMap.aspx	E:/My%20Web/2/www.radprocalculator.com/SiteMap-2.html	(from http://www.radprocalculator.com/)
19:34:12	36080/36080	---M--	200	added ('OK')	application/pdf	etag:%22c88e9aded3fd41:0%22	http://www.radprocalculator.com/Files/RadProCalculatorUpdates.pdf	E:/My%20Web/2/www.radprocalculator.com/Files/RadProCalculatorUpdates.pdf	(from http://www.radprocalculator.com/)
19:34:13	18104/18104	---M--	200	added ('OK')	application/pdf	etag:%228fe564aced3fd41:0%22	http://www.radprocalculator.com/Files/RadProCalculatorPocketPC.pdf	E:/My%20Web/2/www.radprocalculator.com/Files/RadProCalculatorPocketPC.pdf	(from http://www.radprocalculator.com/)
19:34:16	28294/28294	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2011:34:15%20GMT	http://www.radprocalculator.com/FAQ.aspx	E:/My%20Web/2/www.radprocalculator.com/FAQ.html	(from http://www.radprocalculator.com/)
19:34:17	17059/17059	---M--	200	added ('OK')	application/pdf	etag:%22ef295d5eed3fd41:0%22	http://www.radprocalculator.com/Files/Enrichment.pdf	E:/My%20Web/2/www.radprocalculator.com/Files/Enrichment.pdf	(from http://www.radprocalculator.com/)
19:34:17	3748/3748	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20May%202023%2011:34:16%20GMT	http://www.radprocalculator.com/Commas.aspx	E:/My%20Web/2/www.radprocalculator.com/Commas.51.delayed	(from http://www.radprocalculator.com/)
19:34:18	3005/3005	---M--	200	added ('OK')	text/html	date:Sat,%2023%20Nov%202019%2001:37:26%20GMT	http://www.radprocalculator.com/WebResource.axd?d=9peKUpWJXzu4YJnTrbM8PX5AZRBlNLPZPCFMWMnBJjUIXCk5AjEqmtgwibZuNUYtAMhDgI-U2Ye0f-9L7HD7DnPSF8BAYCxE_amNmQpT9zs1&t=637100518460000000	E:/My%20Web/2/www.radprocalculator.com/WebResource839a.html	(from http://www.radprocalculator.com/Conversion.aspx)
